Date,Price,Open,High,Low,Vol.,Change %
4/21/2019,27.09,27.09,27.09,27.09,2.06K,-3.73%
4/14/2019,28.14,28.33,28.36,27.84,1.58K,1.15%
4/7/2019,27.82,25.99,28.11,25.99,5.36K,7.41%
3/31/2019,25.9,22.46,25.6,22.46,1.78K,13.50%
3/24/2019,22.82,21.95,23.63,21.95,1.09K,3.77%
3/17/2019,21.99,22.45,23.15,21.92,0.56K,-8.07%
3/10/2019,23.92,23.8,24.28,23.46,1.60K,-2.45%
3/3/2019,24.52,24.5,24.97,23.75,0.30K,3.33%
2/24/2019,23.73,20.63,20.76,20.55,1.34K,16.15%
2/17/2019,20.43,22.2,22.2,20.23,1.65K,-7.30%
2/10/2019,22.04,22.3,22.6,21.74,1.12K,-7.82%
2/3/2019,23.91,23.08,25.05,23.08,0.21K,1.53%
1/27/2019,23.55,25.06,25.09,24.45,2.63K,-8.29%
1/20/2019,25.68,26.28,26.6,25.28,0.90K,-3.57%
1/13/2019,26.63,24.32,25.63,24.32,6.99K,8.61%
1/6/2019,24.52,24.23,24.88,23.95,4.36K,-4.44%
12/30/2018,25.66,25.45,25.77,25.41,0.37K,-5.03%
12/23/2018,27.02,27.39,27.41,26.93,0.05K,0.19%
12/16/2018,26.97,26.45,27.03,26.45,2.52K,4.70%
12/9/2018,25.76,25,25.5,25,1.06K,13.98%
12/2/2018,22.6,22.85,22.9,22.25,2.09K,-0.44%
11/25/2018,22.7,22.7,22.7,22.7,0.98K,1.34%
11/18/2018,22.4,21.9,23.32,21.9,1.53K,5.11%
11/11/2018,21.31,22.79,22.79,21.87,1.80K,-1.57%
11/4/2018,21.65,20.39,20.39,20.39,1.33K,12.88%
10/28/2018,19.18,19.88,19.88,17.51,7.47K,-6.85%
10/21/2018,20.59,22.17,22.49,21.47,0.48K,-9.05%
10/14/2018,22.64,23.72,23.76,21.45,5.55K,-6.48%
10/7/2018,24.21,26.18,26.2,22.55,3.00K,-7.24%
9/30/2018,26.1,24.42,25.38,24.42,0.33K,5.97%
9/23/2018,24.63,24.63,24.63,24.63,0.23K,-1.00%
9/16/2018,24.88,22.43,22.43,22.43,1.83K,10.97%
9/9/2018,22.42,26.51,26.51,23,0.88K,-11.49%
9/2/2018,25.33,22.22,22.22,22.21,0.44K,9.18%
