date,carbon_price,carbon_price_change_pct,gas_price_weekly,gas_price_lag1,vix,co2_ppm,co2_change,days_to_next_cop,is_cop_week,regime,recent_volatility,momentum_4w,momentum_12w,gas_price_volatility,cop_urgency
2022-09-11,73.27,10.880750605326872,8.3,9.17,24.487500190734863,416.0,-0.0696629753296984,57,0,2,9.216241032449288,-25.242322212019186,-12.177873666546812,9.714392180359585,0.05
2022-09-18,65.77,-10.236113006687598,8.42,8.3,25.97400016784668,415.52,-0.1153846153846172,50,0,2,9.541800793525328,-27.173070534824497,-23.147931759756958,6.01585637847133,0.16666666666666666
2022-09-25,66.73,1.459632051087123,7.69,8.42,27.636000061035155,415.53,0.002406623026574,43,0,2,9.570768814045277,-14.327898318140964,-19.398478077062453,5.0280542909851595,0.2833333333333333
2022-10-02,69.85,4.675558219691278,6.63,7.69,31.699999618530278,415.22,-0.0746035183981752,36,0,2,9.64668470797663,5.705205811138003,-18.189271492152738,6.44914672004058,0.4
2022-10-09,68.02,-2.619899785254109,6.01,6.63,29.920000076293945,415.46,0.0578006839747402,29,0,2,9.202810767982397,-7.165279104681321,-10.851900393184799,6.436390676891923,0.5166666666666667
2022-10-16,68.72,1.029109085563085,6.29,6.01,32.72200050354004,415.84,0.0914648822991415,22,0,2,9.152971938321922,4.485327656986482,-12.514322087842134,7.9601078002138514,0.6333333333333333
2022-10-23,81.21,18.17520372526193,5.48,6.29,30.460000228881835,416.26,0.1010003847633722,15,0,2,10.423817335535214,21.699385583695463,-4.188296366210487,8.548234885700586,0.75
2022-10-30,76.36,-5.9721709149119455,5.12,5.48,27.745999908447267,416.39,0.0312304809493957,8,0,2,10.447816386975495,9.319971367215473,-14.07674130752785,7.582100288044015,0.8666666666666667
2022-11-06,75.84,-0.6809848088004111,4.57,5.12,25.479999542236328,417.14,0.1801195994140192,1,1,2,9.857035277575477,11.496618641576028,-22.62014080195899,7.813246210193786,0.9833333333333333
2022-11-13,72.47,-4.443565400843886,4.34,4.57,24.406000518798827,417.25,0.0263700436304414,382,0,2,9.710516293847897,5.456926658905714,-19.754180046506487,3.6316256065343175,0.0
2022-11-20,78.97,8.969228646336425,6.06,4.34,23.886000442504884,418.48,0.2947872977831167,375,0,2,9.286196099767633,-2.758280999876861,1.3865708049813907,23.66300237901009,0.0
2022-11-27,87.98,11.409395973154378,6.41,6.06,21.12500047683716,417.69,-0.1887784362454625,368,0,2,8.329051424951325,15.217391304347828,33.14164648910412,22.54781282290738,0.0
2022-12-04,87.73,-0.2841554898840637,6.06,6.41,20.715999603271484,419.01,0.316023845435609,361,0,2,7.949583637158098,15.677742616033763,19.735225876893693,21.247735431967214,0.0
2022-12-11,83.68,-4.616436794711043,4.6,6.06,22.144000244140624,418.8,-0.0501181356053481,354,0,2,7.317083550517048,15.468469711604804,27.23126045309414,26.77946160081518,0.0
2022-12-18,86.85,3.788240917782004,6.78,4.6,22.827999877929688,419.19,0.0931232091690548,347,0,2,7.324847493440904,9.978472837786502,30.151356211598966,30.2772903950655,0.0
2022-12-25,79.4,-8.578008059873332,6.35,6.78,21.361999893188475,419.43,0.0572532741716091,340,0,2,7.933119765054374,-9.752216412821092,13.672154617036526,30.894308198799497,0.0
2023-01-01,75.55,-4.848866498740567,4.06,6.35,21.72499990463257,419.29,-0.0333786329065555,333,0,2,8.059557661263218,-13.883506212242114,11.07027344898559,36.85955377158495,0.0
2023-01-08,77.2,2.183984116479154,3.65,4.06,22.12499952316284,419.57,0.0667795559159412,326,0,2,8.064716857488246,-7.74378585086043,12.339930151338763,35.03400454095376,0.0
